bokstav,unikode,nor,eng,sma,sme,smj,smn
A,U+0041,True,True,True,True,True,True
Á,U+00C1,False,False,False,True,True,True
Â,U+00C2,False,False,False,False,False,True
B,U+0042,True,True,True,True,True,True
C,U+0043,True,True,True,True,True,True
Č,U+010C,False,False,False,True,False,True
D,U+0044,True,True,True,True,True,True
Đ,U+0110,False,False,False,True,False,True
E,U+0045,True,True,True,True,True,True
F,U+0046,True,True,True,True,True,True
G,U+0047,True,True,True,True,True,True
H,U+0048,True,True,True,True,True,True
I,U+0049,True,True,True,True,True,True
Ï,U+00CF,False,False,True,False,False,False
J,U+004A,True,True,True,True,True,True
K,U+004B,True,True,True,True,True,True
L,U+004C,True,True,True,True,True,True
M,U+004D,True,True,True,True,True,True
N,U+004E,True,True,True,True,True,True
Ŋ,U+014A,False,False,False,True,True,False
O,U+004F,True,True,True,True,True,True
P,U+0050,True,True,True,True,True,True
Q,U+0051,True,True,True,True,True,True
R,U+0052,True,True,True,True,True,True
S,U+0053,True,True,True,True,True,True
Š,U+0160,False,False,False,True,False,True
T,U+0054,True,True,True,True,True,True
Ŧ,U+0166,False,False,False,True,False,False
U,U+0055,True,True,True,True,True,True
V,U+0056,True,True,True,True,True,True
W,U+0057,True,True,True,True,True,True
X,U+0058,True,True,True,True,True,True
Y,U+0059,True,True,True,True,True,True
Z,U+005A,True,True,True,True,True,True
Ž,U+017D,False,False,False,True,False,True
Æ,U+00C6,True,False,True,True,True,True
Ä,U+00C4,False,False,False,False,True,True
Ø,U+00D8,True,False,True,True,True,True
Ö,U+00D6,False,False,True,False,False,False
Å,U+00C5,True,False,True,True,True,True
a,U+0061,True,True,True,True,True,True
á,U+00E1,False,False,False,True,True,True
â,U+00E2,False,False,False,False,False,True
b,U+0062,True,True,True,True,True,True
c,U+0063,True,True,True,True,True,True
č,U+010D,False,False,False,True,False,True
d,U+0064,True,True,True,True,True,True
đ,U+0111,False,False,False,True,False,True
e,U+0065,True,True,True,True,True,True
f,U+0066,True,True,True,True,True,True
g,U+0067,True,True,True,True,True,True
h,U+0068,True,True,True,True,True,True
i,U+0069,True,True,True,True,True,True
ï,U+00EF,False,False,True,False,False,False
j,U+006A,True,True,True,True,True,True
k,U+006B,True,True,True,True,True,True
l,U+006C,True,True,True,True,True,True
m,U+006D,True,True,True,True,True,True
n,U+006E,True,True,True,True,True,True
ŋ,U+014B,False,False,False,True,True,True
o,U+006F,True,True,True,True,True,True
p,U+0070,True,True,True,True,True,True
q,U+0071,True,True,True,True,True,True
r,U+0072,True,True,True,True,True,True
s,U+0073,True,True,True,True,True,True
š,U+0161,False,False,False,True,False,True
t,U+0074,True,True,True,True,True,True
ŧ,U+0167,False,False,False,True,False,False
u,U+0075,True,True,True,True,True,True
v,U+0076,True,True,True,True,True,True
w,U+0077,True,True,True,True,True,True
x,U+0078,True,True,True,True,True,True
y,U+0079,True,True,True,True,True,True
z,U+007A,True,True,True,True,True,True
ž,U+017E,False,False,False,True,False,True
æ,U+00E6,True,False,True,True,True,True
ä,U+00E4,False,False,False,False,True,True
ø,U+00F8,True,False,True,True,True,True
ö,U+00F6,False,False,True,False,False,False
å,U+00E5,True,False,True,True,True,True
Ʒ,U+01B7,False,False,False,False,False,False
Ǯ,U+01EE,False,False,False,False,False,False
Ǧ,U+01E6,False,False,False,False,False,False
Ǥ,U+01E4,False,False,False,False,False,False
Ǩ,U+01E8,False,False,False,False,False,False
Õ,U+00D5,False,False,False,False,False,False
ʒ,U+0292,False,False,False,False,False,False
ǯ,U+01EF,False,False,False,False,False,False
ǧ,U+01E7,False,False,False,False,False,False
ǥ,U+01E5,False,False,False,False,False,False
ǩ,U+01E9,False,False,False,False,False,False
õ,U+00F5,False,False,False,False,False,False
é,U+00E9,False,False,False,False,False,False
ð,U+00F0,False,False,False,False,False,False
ô,U+00F4,False,False,False,False,False,False
û,U+00FB,False,False,False,False,False,False
ń,U+0144,False,False,False,False,False,False
ñ,U+00F1,False,False,False,False,False,False
