dokumentID	side_filnavn	språk	språkkode
0c7302c16cf7bfdac1efc852a86b759a	URN_NBN_no-nb_digibok_2021073048082_0026	nordsamisk	sme
07b607db058f42878dee0d0a41eb2f26	URN_NBN_no-nb_digibok_2018020648028_0099	nordsamisk	sme
07d92008b6f4593ae0d1b541e4568fc4	URN_NBN_no-nb_digibok_2011031806043_0008	nordsamisk	sme
09ece5bfeaf4ea7c28d9ba4845ded162	URN_NBN_no-nb_digibok_2011062406040_0012	nordsamisk	sme
143e0b14cd6232f5dbd1ac6d190cf48a	URN_NBN_no-nb_digibok_2020040107087_0056	sørsamisk	sma
1071e0c81c2e8eb19635a31ff229b7d0	URN_NBN_no-nb_digibok_2011071206075_0074	sørsamisk	sma
0bcbe9f85d9a3abfaee5219962db1db7	URN_NBN_no-nb_digibok_2011070808102_0009	lulesamisk	smj
152edaa39dc1987b2e715345f918c980	URN_NBN_no-nb_digibok_2021111748174_0015	lulesamisk	smj
56c8de49ae7e9de087d5bf1d58d4540a	URN_NBN_no-nb_digibok_2015010848081_0016	inaresamisk	smn
56c8de49ae7e9de087d5bf1d58d4540a	URN_NBN_no-nb_digibok_2015010848081_0018	inaresamisk	smn
ac43312592aedb7632c3ee61cb293542	URN_NBN_no-nb_digibok_2014030408001_0024	inaresamisk	smn
10df0887cb51cfc6d7032f11fc6c3b69	URN_NBN_no-nb_digibok_2010082603001_0018	nordsamisk	sme
3eede9481e9c53a2c928a0c95238cd82	URN_NBN_no-nb_digibok_2020081948505_0012	sørsamisk	sma
2452e09e23531543b5339ba7f0da773a	URN_NBN_no-nb_digibok_2015072408046_0020	sørsamisk	sma
2629655f0d6db47e7698d535bd93c0f4	URN_NBN_no-nb_pliktmonografi_000007243_0098	sørsamisk	sma
1add23e21c5806d02171e1dad82160cb	URN_NBN_no-nb_pliktmonografi_000003755_0037	lulesamisk	smj
1dcf008e367dcff7ec0a2610598ea176	URN_NBN_no-nb_digibok_2013120908045_0013	lulesamisk	smj
2c01bb46a4a724a06b5a36396bbe1868	URN_NBN_no-nb_digibok_2021102848062_0044	lulesamisk	smj
68f9dc3f8084cc23853a79bd473d8231	URN_NBN_no-nb_digibok_2008031000072_0026	inaresamisk	smn
c85df7cc4d09ccfad69ae3ce6cd05309	URN_NBN_no-nb_digibok_2016031548149_0138	inaresamisk	smn
e2f02a44af4827df20898c77160427f2	URN_NBN_no-nb_digibok_2018062248001_0034	inaresamisk	smn
