tegn	link	antall_forekomster_train	antall_forekomster_val
 	https://util.unicode.org/UnicodeJsps/character.jsp?a=0020	26630	10033
!	https://util.unicode.org/UnicodeJsps/character.jsp?a=0021	103	26
""""	https://util.unicode.org/UnicodeJsps/character.jsp?a=0022	16	6
%	https://util.unicode.org/UnicodeJsps/character.jsp?a=0025	2	5
&	https://util.unicode.org/UnicodeJsps/character.jsp?a=0026	3	0
'	https://util.unicode.org/UnicodeJsps/character.jsp?a=0027	15	2
(	https://util.unicode.org/UnicodeJsps/character.jsp?a=0028	648	55
)	https://util.unicode.org/UnicodeJsps/character.jsp?a=0029	647	56
*	https://util.unicode.org/UnicodeJsps/character.jsp?a=002A	1	0
+	https://util.unicode.org/UnicodeJsps/character.jsp?a=002B	9	0
,	https://util.unicode.org/UnicodeJsps/character.jsp?a=002C	1241	532
-	https://util.unicode.org/UnicodeJsps/character.jsp?a=002D	1152	628
.	https://util.unicode.org/UnicodeJsps/character.jsp?a=002E	5629	1052
/	https://util.unicode.org/UnicodeJsps/character.jsp?a=002F	349	38
0	https://util.unicode.org/UnicodeJsps/character.jsp?a=0030	2363	210
1	https://util.unicode.org/UnicodeJsps/character.jsp?a=0031	1729	196
2	https://util.unicode.org/UnicodeJsps/character.jsp?a=0032	1357	115
3	https://util.unicode.org/UnicodeJsps/character.jsp?a=0033	831	82
4	https://util.unicode.org/UnicodeJsps/character.jsp?a=0034	518	87
5	https://util.unicode.org/UnicodeJsps/character.jsp?a=0035	703	101
6	https://util.unicode.org/UnicodeJsps/character.jsp?a=0036	407	79
7	https://util.unicode.org/UnicodeJsps/character.jsp?a=0037	350	63
8	https://util.unicode.org/UnicodeJsps/character.jsp?a=0038	382	98
9	https://util.unicode.org/UnicodeJsps/character.jsp?a=0039	441	92
:	https://util.unicode.org/UnicodeJsps/character.jsp?a=003A	799	125
;	https://util.unicode.org/UnicodeJsps/character.jsp?a=003B	12	5
=	https://util.unicode.org/UnicodeJsps/character.jsp?a=003D	0	1
?	https://util.unicode.org/UnicodeJsps/character.jsp?a=003F	55	27
@	https://util.unicode.org/UnicodeJsps/character.jsp?a=0040	92	2
A	https://util.unicode.org/UnicodeJsps/character.jsp?a=0041	947	112
B	https://util.unicode.org/UnicodeJsps/character.jsp?a=0042	463	96
C	https://util.unicode.org/UnicodeJsps/character.jsp?a=0043	128	7
D	https://util.unicode.org/UnicodeJsps/character.jsp?a=0044	812	137
E	https://util.unicode.org/UnicodeJsps/character.jsp?a=0045	431	71
F	https://util.unicode.org/UnicodeJsps/character.jsp?a=0046	190	71
G	https://util.unicode.org/UnicodeJsps/character.jsp?a=0047	488	121
H	https://util.unicode.org/UnicodeJsps/character.jsp?a=0048	356	73
I	https://util.unicode.org/UnicodeJsps/character.jsp?a=0049	543	109
J	https://util.unicode.org/UnicodeJsps/character.jsp?a=004A	294	87
K	https://util.unicode.org/UnicodeJsps/character.jsp?a=004B	403	55
L	https://util.unicode.org/UnicodeJsps/character.jsp?a=004C	442	90
M	https://util.unicode.org/UnicodeJsps/character.jsp?a=004D	639	134
N	https://util.unicode.org/UnicodeJsps/character.jsp?a=004E	639	118
O	https://util.unicode.org/UnicodeJsps/character.jsp?a=004F	533	133
P	https://util.unicode.org/UnicodeJsps/character.jsp?a=0050	253	57
R	https://util.unicode.org/UnicodeJsps/character.jsp?a=0052	600	85
S	https://util.unicode.org/UnicodeJsps/character.jsp?a=0053	946	331
T	https://util.unicode.org/UnicodeJsps/character.jsp?a=0054	561	89
U	https://util.unicode.org/UnicodeJsps/character.jsp?a=0055	277	33
V	https://util.unicode.org/UnicodeJsps/character.jsp?a=0056	366	89
W	https://util.unicode.org/UnicodeJsps/character.jsp?a=0057	39	7
X	https://util.unicode.org/UnicodeJsps/character.jsp?a=0058	1	1
Y	https://util.unicode.org/UnicodeJsps/character.jsp?a=0059	51	5
Z	https://util.unicode.org/UnicodeJsps/character.jsp?a=005A	7	0
[	https://util.unicode.org/UnicodeJsps/character.jsp?a=005B	1	0
]	https://util.unicode.org/UnicodeJsps/character.jsp?a=005D	1	0
_	https://util.unicode.org/UnicodeJsps/character.jsp?a=005F	0	1
a	https://util.unicode.org/UnicodeJsps/character.jsp?a=0061	15451	6850
